Student Tag,Enrollment Term,Subject,Entry Teacher Tag,Exit Teacher Tag,Q1 (Before),Q1 (After),Q1 (Change),Q2 (Before),Q2 (After),Q2 (Change),Q3 (Before),Q3 (After),Q3 (Change),Q4 (Before),Q4 (After),Q4 (Change),Q5 (Before),Q5 (After),Q5 (Change),Q6 (Before),Q6 (After),Q6( Change),Q7 (Before),Q7 (After),Q7 (Change),Q8 (Before),Q8 (After),Q8 (Change),Q9 (Before),Q9 (After),Q9 (Change),Q10 (Before),Q10 (After),Q10 (Change),Q11 (Before),Q11 (After),Q11 (Change),Q12 (Before),Q12 (After),Q12 (Change),Q13 (Before),Q13 (After),Q13 (Change),Q14 (Before),Q14 (After),Q14 (Change),Q15 (Before),Q15 (After),Q15 (Change),Q16 (Before),Q16 (After),Q16 (Change),Q17 (Before),Q17 (After),Q17 (Change),Q18 (Assigned Text Read Completely),Q19 (Chinese Translation),Q20 (Time/RJ),Q21 (Time/reading),Q22 (% Lecture),Q23 (% tutorial participation),Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Sex,"Phy (1: normal, 2:mainland)","Chem(1: normal, 2:mainland)","Bio(1: normal, 2:mainland)",Com Sci,Inter Sci,Eng Lit,Chin Lit,"History(1: normal, 2:mainland)",Chin History,Ethics & RS,Music,Visual Art,Econ,"Geog(1: normal, 2:mainland)",Politics_Mainland,Language,English Proficiency,Year of Study,Faculty,Term GPA,Grade,cGPA (After),cGPA (Before),First GEF?,"ScienceSubject (Phy,Chem,Bio,InterSci,CombSci)","HumanitiesSub (ChinHist, Hist, ChinLit, EngLit, RS, Politics)",Micro-modules,Micro-modules_No_a,Micro-modules_No_b,Micro-modules_No_c,Micro-modules_No_d,Micro-modules_No_e,Micro-modules_No_f,Micro-modules_No_g
322,1617T1,UNFN,13,13,4,5,1,5,5,0,4,5,1,4,5,1,5,5,0,5,5,0,5,5,0,5,5,0,4,5,1,4,5,1,5,6,1,4,6,2,2,5,3,4,5,1,4,5,1,4,5,1,5,6,1,6 to 7,0 to 1,3 to <6,less than 1,1-20%,81-100%,3,4,4,3,4,4,4,4,4,4,4,3,F,BLANK,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,DSE 5 or above,1,MED,3.41,A-,3.41,0.00,Yes,2,0,0,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK
323,1617T1,UNFN,11,11,4,5,1,5,5,0,4,4,0,4,4,0,3,4,1,3,4,1,4,4,0,4,5,1,3,4,1,4,5,1,4,5,1,3,4,1,4,5,1,5,5,0,4,5,1,5,6,1,5,5,0,6 to 7,0 to 1,6 to <10,1 to <2,81-100%,81-100%,3,4,4,3,4,4,4,4,4,4,3,3,F,BLANK,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,,Cantonese,DSE 5 or above,1,MED,3.66,A-,3.66,0.00,Yes,2,0,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
324,1617T1,UNFN,11,11,5,5,0,5,5,0,5,5,0,5,5,0,3,4,1,3,5,2,3,5,2,5,6,1,3,5,2,3,5,2,5,5,0,5,5,0,4,5,1,5,6,1,5,6,1,5,6,1,5,6,1,8 to 9,8 to 9,more than 15,more than 5,81-100%,81-100%,3,4,5,3,5,4,5,5,4,4,5,5,F,BLANK,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,DSE 4 or below,1,MED,3.19,A-,3.19,0.00,Yes,2,0,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
325,1617T1,UNFN,11,11,4,4,0,5,4,-1,4,4,0,3,4,1,4,4,0,5,4,-1,5,5,0,5,5,0,4,5,1,4,5,1,5,5,0,5,5,0,4,4,0,5,4,-1,4,4,0,4,4,0,5,4,-1,4 to 5,0 to 1,more than 15,2 to <3,81-100%,81-100%,4,4,4,4,4,4,4,4,4,4,4,4,M,BLANK,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,,Cantonese,DSE 5 or above,1,MED,2.99,,2.99,0.00,Yes,2,0,0,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK
326,1617T1,UNFN,1,1,5,6,1,5,6,1,5,6,1,5,6,1,4,6,2,5,6,1,5,6,1,5,6,1,4,4,0,4,6,2,4,6,2,4,6,2,4,6,2,5,6,1,5,4,-1,5,6,1,5,6,1,8 to 9,2 to 3,3 to <6,2 to <3,0,81-100%,3,4,4,2,4,4,4,4,4,4,4,2,F,1,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,DSE 5 or above,1,MED,3.35,A,3.35,0.00,Yes,3,0,0,1,BLANK,BLANK,BLANK,1,BLANK,BLANK
327,1617T1,UNFN,12,12,5,6,1,4,5,1,5,6,1,4,5,1,5,6,1,4,4,0,6,6,0,5,5,0,5,5,0,5,4,-1,4,4,0,3,5,2,3,5,2,4,5,1,4,5,1,6,6,0,5,5,0,10 to 11,2 to 3,6 to <10,less than 1,61-80%,81-100%,4,5,4,4,4,3,3,4,4,4,3,3,F,BLANK,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,,Cantonese,DSE 5 or above,1,MED,3.38,A-,3.38,0.00,Yes,2,0,0,BLANK,BLANK,1,BLANK,1,BLANK,BLANK
328,1617T1,UNFN,11,11,5,5,0,6,5,-1,4,5,1,4,5,1,2,4,2,1,3,2,BLANK,3,#VALUE!,4,4,0,3,4,1,3,5,2,2,5,3,3,5,2,3,5,2,4,6,2,3,6,3,4,6,2,4,4,0,6 to 7,6 to 7,10 to <15,2 to <3,81-100%,81-100%,5,5,5,3,4,5,5,5,5,5,5,3,M,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK,BLANK,BLANK,BLANK,1,,Cantonese,DSE 4 or below,1,SSF,3.29,B+,3.29,0.00,Yes,0,1,0,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
329,1617T1,UNFN,1,1,5,4,-1,5,4,-1,3,4,1,3,4,1,5,5,0,4,4,0,4,6,2,4,5,1,3,4,1,4,4,0,5,4,-1,5,5,0,4,4,0,4,4,0,4,4,0,5,4,-1,6,5,-1,8 to 9,8 to 9,6 to <10,4 to <5,81-100%,81-100%,4,4,4,2,3,3,4,4,4,4,4,4,F,1,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,DSE 4 or below,1,SCF,3.18,B-,3.18,0.00,Yes,3,0,0,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK
330,1617T1,UNFN,12,12,4,5,1,5,6,1,3,5,2,3,4,1,2,6,4,2,5,3,2,5,3,5,5,0,4,6,2,3,6,3,3,6,3,5,5,0,5,6,1,5,6,1,4,5,1,5,6,1,4,5,1,6 to 7,0 to 1,6 to <10,1 to <2,61-80%,81-100%,4,5,4,5,5,5,4,4,5,5,5,5,M,BLANK,BLANK,BLANK,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Others,Others,1,SCF,3.13,A-,3.13,0.00,Yes,1,0,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
331,1617T1,UNFN,1,1,5,2,-3,5,3,-2,4,3,-1,4,4,0,3,3,0,3,3,0,4,4,0,5,3,-2,2,4,2,3,3,0,4,2,-2,4,4,0,4,4,0,3,4,1,4,4,0,4,4,0,5,4,-1,2 to 3,2 to 3,3 to <6,1 to <2,61-80%,81-100%,3,4,4,3,4,3,4,4,4,3,4,3,M,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,,Cantonese,DSE 4 or below,1,EDU,2.51,D+,2.51,0.00,Yes,0,0,0,1,BLANK,BLANK,1,BLANK,BLANK,BLANK
332,1617T1,UNFN,11,11,5,4,-1,5,4,-1,4,4,0,4,4,0,5,5,0,4,5,1,5,4,-1,5,4,-1,3,3,0,4,4,0,3,4,1,3,5,2,3,4,1,5,5,0,4,4,0,3,3,0,3,3,0,10 to 11,0 to 1,3 to <6,1 to <2,81-100%,81-100%,3,4,4,3,4,4,3,4,4,5,4,2,F,BLANK,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,,Cantonese,DSE 5 or above,1,ART,3.41,A-,3.41,0.00,Yes,2,0,0,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK
334,1617T1,UNFN,1,1,4,4,0,5,4,-1,3,3,0,4,4,0,2,2,0,3,3,0,4,4,0,4,4,0,4,4,0,3,4,1,3,3,0,2,4,2,3,3,0,3,4,1,3,4,1,3,4,1,3,4,1,2 to 3,6 to 7,3 to <6,1 to <2,1-20%,81-100%,3,4,4,2,3,2,3,3,3,4,4,1,M,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,DSE 4 or below,1,ENF,3.05,B-,3.05,0.00,Yes,0,0,0,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK
336,1617T1,UNFN,11,11,5,4,-1,5,4,-1,BLANK,4,#VALUE!,5,4,-1,3,4,1,3,3,0,3,3,0,4,3,-1,2,3,1,2,3,1,3,3,0,2,4,2,4,4,0,5,4,-1,4,4,0,4,4,0,4,4,0,10 to 11,10 to 11,10 to <15,2 to <3,81-100%,81-100%,3,4,4,3,4,4,4,4,4,4,4,4,F,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,1,,Cantonese,DSE 4 or below,1,BAF,3.14,B,3.14,0.00,Yes,0,0,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
337,1617T1,UNFN,2,2,4,5,1,4,5,1,4,5,1,4,5,1,4,5,1,4,5,1,4,5,1,4,5,1,4,5,1,4,5,1,4,5,1,4,5,1,4,5,1,4,5,1,4,5,1,4,5,1,4,5,1,10 to 11,0 to 1,3 to <6,2 to <3,81-100%,81-100%,4,3,5,3,4,4,4,4,4,4,4,4,M,1,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK,BLANK,1,,Cantonese,Others,1,ENF,2.62,B-,2.62,0.00,Yes,3,1,0,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK
338,1617T1,UNFN,11,11,5,5,0,5,6,1,4,4,0,4,5,1,4,5,1,4,4,0,5,5,0,4,5,1,3,5,2,4,5,1,3,5,2,4,5,1,3,5,2,5,6,1,5,5,0,5,6,1,5,5,0,8 to 9,0 to 1,more than 15,3 to <4,81-100%,41-60%,3,4,5,3,4,4,3,4,4,4,4,2,F,BLANK,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,,Cantonese,DSE 5 or above,1,MED,3.36,A,3.36,0.00,Yes,2,0,0,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
339,1617T1,UNFN,2,2,5,5,0,5,5,0,5,5,0,4,4,0,5,6,1,5,6,1,6,6,0,5,6,1,3,5,2,4,5,1,4,5,1,4,5,1,3,5,2,4,5,1,4,4,0,4,6,2,4,4,0,10 to 11,0 to 1,6 to <10,1 to <2,81-100%,81-100%,4,3,4,4,3,4,4,4,4,4,4,2,M,BLANK,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Others,DSE 5 or above,1,BAF,3.30,B+,3.30,0.00,Yes,2,0,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
340,1617T1,UNFN,10,10,5,4,-1,5,4,-1,4,4,0,5,4,-1,2,4,2,5,BLANK,#VALUE!,5,5,0,4,2,-2,3,3,0,3,BLANK,#VALUE!,4,4,0,5,4,-1,4,4,0,5,4,-1,3,4,1,5,4,-1,5,4,-1,6 to 7,2 to 3,3 to <6,2 to <3,41-60%,61-80%,3,4,4,3,3,3,3,4,4,4,4,3,F,1,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,DSE 5 or above,1,BAF,2.54,C,2.54,0.00,Yes,3,0,0,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK
341,1617T1,UNFN,13,13,4,4,0,5,4,-1,3,4,1,4,4,0,3,4,1,4,4,0,5,3,-2,5,4,-1,4,4,0,4,4,0,3,4,1,4,4,0,4,4,0,5,5,0,3,4,1,5,5,0,5,4,-1,8 to 9,2 to 3,10 to <15,1 to <2,81-100%,21-40%,4,3,4,4,4,4,4,4,4,4,4,4,M,1,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,DSE 4 or below,1,SCF,3.06,B-,3.06,0.00,Yes,3,0,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
342,1617T1,UNFN,10,10,5,5,0,5,4,-1,3,4,1,3,4,1,2,4,2,3,4,1,3,4,1,3,5,2,3,4,1,3,4,1,3,4,1,2,5,3,2,5,3,4,4,0,2,4,2,5,5,0,4,4,0,4 to 5,2 to 3,3 to <6,2 to <3,1-20%,81-100%,4,4,4,4,4,4,4,4,4,4,4,4,M,1,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,DSE 5 or above,1,MED,2.16,C+,2.16,0.00,Yes,3,0,0,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
344,1617T1,UNFN,11,11,4,5,1,4,5,1,4,4,0,4,4,0,5,5,0,5,5,0,5,5,0,4,5,1,4,5,1,5,5,0,5,5,0,5,4,-1,4,4,0,4,4,0,5,4,-1,5,4,-1,4,4,0,10 to 11,0 to 1,1 to <3,1 to <2,81-100%,81-100%,3,3,4,3,4,4,4,4,4,4,4,3,F,1,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,DSE 5 or above,1,BAF,3.79,A-,3.79,0.00,Yes,3,0,0,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
345,1617T1,UNFN,1,1,5,5,0,5,5,0,3,4,1,3,4,1,4,4,0,4,3,-1,4,3,-1,4,4,0,2,3,1,3,3,0,3,3,0,3,3,0,3,3,0,5,5,0,3,4,1,5,4,-1,4,4,0,6 to 7,6 to 7,1 to <3,less than 1,1-20%,81-100%,4,4,4,4,4,4,3,4,4,4,4,4,M,1,BLANK,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,DSE 5 or above,1,MED,2.87,B-,2.87,0.00,Yes,2,0,0,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
346,1617T1,UNFN,10,10,4,5,1,5,6,1,4,5,1,5,5,0,4,5,1,5,6,1,5,6,1,5,5,0,4,5,1,5,5,0,4,5,1,4,5,1,5,5,0,5,5,0,4,5,1,5,5,0,5,6,1,10 to 11,8 to 9,3 to <6,1 to <2,81-100%,81-100%,4,4,5,4,5,5,4,4,5,5,5,4,F,1,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,DSE 5 or above,1,MED,3.08,B,3.08,0.00,Yes,3,0,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
348,1617T1,UNFN,1,1,4,5,1,5,5,0,5,5,0,4,5,1,2,5,3,2,5,3,5,6,1,5,6,1,4,5,1,4,5,1,4,5,1,3,5,2,3,5,2,4,6,2,3,5,2,5,6,1,5,6,1,8 to 9,0 to 1,6 to <10,2 to <3,41-60%,61-80%,3,4,5,4,4,5,5,4,5,5,5,4,F,1,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,DSE 5 or above,1,MED,3.38,A,3.38,0.00,Yes,3,0,0,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
349,1617T1,UNFN,13,13,5,5,0,5,5,0,4,4,0,4,3,-1,3,3,0,4,5,1,5,5,0,5,5,0,4,5,1,4,5,1,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,6 to 7,8 to 9,6 to <10,2 to <3,41-60%,81-100%,4,4,4,3,4,4,4,4,4,4,4,2,F,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,,Cantonese,DSE 4 or below,1,ENF,2.96,B-,2.96,0.00,Yes,0,0,0,BLANK,BLANK,BLANK,BLANK,1,1,BLANK
350,1617T1,UNFN,14,14,6,5,-1,6,4,-2,6,5,-1,6,5,-1,4,4,0,5,4,-1,5,5,0,6,5,-1,1,5,4,5,6,1,4,4,0,2,5,3,5,4,-1,5,4,-1,5,6,1,5,5,0,5,4,-1,0 to 1,0 to 1,less than 1,less than 1,1-20%,81-100%,4,3,4,4,5,4,5,5,4,3,4,3,M,1,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,DSE 4 or below,1,MED,2.61,B-,2.61,0.00,Yes,3,0,0,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK
351,1617T1,UNFN,10,10,4,4,0,5,5,0,4,4,0,3,4,1,5,4,-1,5,4,-1,5,4,-1,6,6,0,4,5,1,4,5,1,3,5,2,3,4,1,4,3,-1,5,4,-1,4,4,0,5,4,-1,4,4,0,4 to 5,0 to 1,1 to <3,2 to <3,41-60%,61-80%,3,4,5,4,4,4,4,4,4,3,4,3,M,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK,,BLANK,DSE 5 or above,1,BAF,3.59,A-,3.59,0.00,Yes,2,0,0,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
352,1617T1,UNFN,13,13,5,4,-1,4,4,0,4,4,0,5,4,-1,3,4,1,3,5,2,5,5,0,4,5,1,4,4,0,4,5,1,3,5,2,4,5,1,4,4,0,4,4,0,5,4,-1,5,5,0,5,5,0,8 to 9,0 to 1,3 to <6,2 to <3,61-80%,81-100%,3,3,4,3,4,4,4,4,4,5,4,2,M,BLANK,BLANK,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,,Cantonese,DSE 5 or above,1,SCF,3.32,A-,3.32,0.00,Yes,1,0,0,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK
353,1617T1,UNFN,1,1,5,5,0,5,5,0,6,4,-2,6,4,-2,5,4,-1,3,4,1,2,4,2,4,5,1,2,4,2,2,4,2,3,5,2,3,5,2,5,4,-1,5,5,0,5,5,0,6,5,-1,5,5,0,4 to 5,0 to 1,3 to <6,1 to <2,41-60%,81-100%,4,5,5,3,5,4,4,4,5,5,5,3,F,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK,BLANK,BLANK,1,1,,Cantonese,DSE 5 or above,1,BAF,3.68,A-,3.68,0.00,Yes,0,1,0,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
354,1617T1,UNFN,1,1,4,4,0,5,4,-1,4,4,0,4,4,0,5,4,-1,5,4,-1,5,4,-1,6,5,-1,3,5,2,3,5,2,4,5,1,4,5,1,4,6,2,4,6,2,4,5,1,4,5,1,5,4,-1,10 to 11,2 to 3,3 to <6,1 to <2,61-80%,81-100%,4,4,4,3,4,4,4,5,5,5,5,4,F,BLANK,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,,Cantonese,DSE 5 or above,1,MED,3.12,B,3.12,0.00,Yes,2,0,0,BLANK,BLANK,BLANK,1,BLANK,BLANK,BLANK
355,1617T1,UNFN,11,11,5,3,-2,5,5,0,4,3,-1,4,3,-1,3,3,0,2,2,0,3,3,0,5,4,-1,3,4,1,2,4,2,3,3,0,2,3,1,3,3,0,5,5,0,4,2,-2,5,3,-2,5,3,-2,2 to 3,0 to 1,6 to <10,2 to <3,61-80%,41-60%,3,4,4,3,3,3,3,4,4,4,3,2,F,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,1,BLANK,,Cantonese,DSE 4 or below,1,BAF,2.79,C+,2.79,0.00,Yes,0,0,0,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
356,1617T1,UNFN,1,1,5,5,0,4,5,1,6,5,-1,5,5,0,6,6,0,6,6,0,5,5,0,6,5,-1,5,2,-3,6,2,-4,6,5,-1,5,5,0,4,4,0,5,5,0,4,5,1,5,5,0,6,5,-1,2 to 3,0 to 1,3 to <6,1 to <2,21-40%,81-100%,2,2,4,4,4,4,2,3,4,4,4,2,M,1,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,DSE 5 or above,1,MED,3.28,B,3.28,0.00,Yes,3,0,0,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
357,1617T1,UNFN,1,1,4,6,2,6,6,0,5,6,1,5,6,1,3,6,3,6,6,0,6,6,0,5,6,1,2,6,4,6,6,0,6,5,-1,5,5,0,3,4,1,6,6,0,5,5,0,6,5,-1,6,6,0,6 to 7,2 to 3,6 to <10,2 to <3,61-80%,81-100%,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,M,1,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,DSE 5 or above,1,MED,3.10,B,3.10,0.00,Yes,3,0,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
358,1617T1,UNFN,11,11,5,5,0,6,6,0,4,5,1,5,5,0,6,5,-1,5,5,0,5,5,0,5,5,0,4,4,0,5,6,1,5,5,0,5,5,0,5,5,0,6,6,0,5,6,1,5,5,0,6,6,0,10 to 11,0 to 1,6 to <10,less than 1,81-100%,61-80%,4,4,4,3,5,4,4,4,4,4,4,3,M,1,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,BLANK,DSE 5 or above,3,ENF,3.90,A,2.35,1.97,No,3,0,0,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
359,1617T1,UNFN,1,1,6,5,-1,5,6,1,5,4,-1,5,5,0,5,5,0,3,5,2,4,5,1,6,5,-1,3,5,2,4,5,1,4,5,1,3,5,2,3,5,2,6,6,0,5,6,1,6,6,0,5,6,1,8 to 9,0 to 1,6 to <10,2 to <3,81-100%,81-100%,4,5,5,3,5,4,5,5,5,5,5,3,F,1,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,DSE 5 or above,1,MED,3.31,A,3.31,0.00,Yes,3,0,0,1,BLANK,BLANK,BLANK,1,BLANK,BLANK
363,1617T1,UNFN,10,10,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,5,5,0,6,5,-1,6,5,-1,4,5,1,5,5,0,6,5,-1,5,5,0,4,5,1,5,5,0,4,5,1,5,5,0,5,5,0,10 to 11,8 to 9,6 to <10,3 to <4,81-100%,81-100%,4,4,4,4,4,4,4,4,4,4,4,4,M,1,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,DSE 5 or above,1,MED,2.73,B,2.73,0.00,Yes,3,0,0,1,BLANK,BLANK,BLANK,1,BLANK,BLANK
365,1617T1,UNFN,1,1,3,4,1,4,4,0,3,3,0,3,3,0,3,3,0,4,2,-2,4,2,-2,5,4,-1,2,3,1,3,3,0,2,2,0,3,2,-1,4,4,0,5,3,-2,4,2,-2,3,2,-1,5,5,0,6 to 7,4 to 5,more than 15,1 to <2,21-40%,81-100%,4,4,4,5,3,4,2,3,3,4,4,3,M,1,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,DSE 4 or below,1,MED,3.08,B,3.08,0.00,Yes,3,0,0,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
367,1617T1,UNFN,11,11,4,5,1,5,6,1,4,5,1,4,4,0,3,4,1,5,5,0,5,5,0,5,5,0,5,5,0,5,6,1,5,5,0,4,5,1,5,5,0,5,5,0,4,5,1,5,5,0,5,6,1,8 to 9,4 to 5,10 to <15,3 to <4,81-100%,81-100%,5,5,5,5,4,5,5,5,4,5,4,3,M,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,DSE 5 or above,1,BASCI,3.75,A-,3.75,0.00,Yes,2,0,0,1,BLANK,BLANK,BLANK,1,BLANK,BLANK
368,1617T1,UNFN,11,11,4,5,1,6,5,-1,5,4,-1,4,4,0,5,5,0,5,5,0,5,4,-1,5,5,0,4,5,1,4,4,0,4,5,1,4,5,1,4,4,0,5,5,0,4,4,0,5,4,-1,4,5,1,6 to 7,6 to 7,6 to <10,2 to <3,61-80%,61-80%,4,4,4,3,3,3,4,3,3,3,4,4,M,1,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,DSE 4 or below,1,ENF,3.12,B,3.12,0.00,Yes,3,0,0,BLANK,BLANK,BLANK,BLANK,1,BLANK,BLANK
371,1617T1,UNFN,12,12,4,4,0,5,5,0,4,4,0,4,4,0,3,4,1,4,4,0,4,3,-1,5,5,0,4,4,0,5,4,-1,5,4,-1,4,4,0,5,4,-1,6,4,-2,6,4,-2,4,3,-1,4,4,0,4 to 5,0 to 1,6 to <10,1 to <2,21-40%,81-100%,4,4,4,3,3,3,4,5,3,4,4,3,F,BLANK,1,BLANK,BLANK,1,1,BLANK,1,BLANK,BLANK,1,1,BLANK,1,,Others,Others,2,ENF,3.38,B,3.34,3.33,No,2,2,0,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK
372,1617T1,UNFN,1,1,3,4,1,5,5,0,5,5,0,5,5,0,4,5,1,5,5,0,5,5,0,5,5,0,2,5,3,4,5,1,6,5,-1,3,5,2,4,4,0,5,5,0,3,5,2,5,5,0,5,5,0,8 to 9,0 to 1,6 to <10,2 to <3,81-100%,81-100%,4,4,4,2,3,5,4,3,3,5,4,3,F,BLANK,1,1,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,BLANK,,Cantonese,DSE 5 or above,1,MED,3.24,B,3.24,0.00,Yes,2,0,0,1,BLANK,BLANK,BLANK,1,BLANK,BLANK
